6	12	-1.5	48	39	6
20	27	-4	54	64	2
20	12	-3	46.5	47	7
21	13	-2.5	44.5	46	10
19	17	-13.5	55	32	4
0	30	-6	40.5	72	0
16	14	-3	55.5	72	0
17	10	-14	44.5	49	7
31	13	-3.5	50	34	9
41	13	-3.5	41.5	58	2
24	13	-2.5	43.5	45	5
27	38	-8	42	72	0
10	22	-7	49	72	0
17	7	-11	41.5	60	10
11	16	-9.5	48	43	5
15	31	-7	46.5	43	7
21	13	-3.5	55	42	6
35	38	-4	49.5	62	5
27	24	-10	38.5	49	2
6	35	-3.5	41.5	49	1
17	13	-3	53.5	42	6
14	20	-4	39	54	3
42	7	-2	40.5	58	1
25	13	-7	51	35	1
37	35	-9.5	36.5	72	0
14	30	-6	40	50	4
16	17	-10	44.5	36	7
26	24	-3.5	53.5	51	9
20	12	-6	41.5	58	2
27	37	-4.5	42.5	78	7
3	20	-6	56	72	0
37	28	-10	47	35	4
3	34	-7	41.5	62	6
20	10	-2.5	49.5	34	0
47	14	-7	43.5	72	0
30	20	-11.5	49	76	4
23	17	-3.5	47.5	46	7
19	7	-2.5	48	72	0
24	37	-14	40	56	3
13	9	-16.5	48.5	33	0
9	17	-9	47	25	6
26	34	-8.5	38.5	43	8
27	17	-3	42	37	5
20	17	-7	41	80	7
20	6	-7	47.5	22	4
20	23	-4.5	43.5	49	8
10	27	-1	52	51	6
17	44	-3	48.5	35	1
27	16	-6	37.5	56	5
17	30	-11	41.5	43	1
24	20	-6	46.5	77	7
26	10	-7.5	46.5	41	5
35	31	-6	47.5	57	4
31	17	-5.5	37.5	51	6
13	24	-3	45	48	10
26	21	-6	48.5	72	0
45	7	-3.5	48	72	0
28	22	-7	47.5	20	12
24	28	-13.5	39.5	48	0
28	21	-9.5	53.5	40	7
31	19	-5.5	51.5	24	0
27	14	-7	52	51	15
23	31	-8.5	45	52	15
27	26	-1	47.5	72	0
19	13	-7	51	64	9
20	27	-2.5	48.5	72	0
9	20	-1	44.5	53	7
31	10	-6.5	48.5	68	4
13	33	-7	52.5	72	0
33	28	-4.5	46.5	86	5
34	31	-1	40.5	83	8
14	42	-3	41	81	1
10	17	-3.5	38.5	76	7
26	24	-3	43	75	9
20	3	-3.5	45.5	82	8
24	31	-3.5	41	72	0
32	40	-3	40.5	81	6
24	17	-4	45.5	71	11
23	48	-3	56	72	0
24	19	-2.5	42.5	64	4
28	14	-3	42	80	8
27	17	-1	44.5	62	4
23	20	-3	41	88	2
26	16	-2	46	69	3
19	26	-3.5	48	73	6
20	24	-1	41	66	11
37	33	-3	49.5	54	6
10	20	-6	42	83	5
43	18	-2.5	44	70	12
24	10	-9	47	72	0
7	20	-2	50	77	7
32	21	-6	42	89	7
47	7	-6.5	54	74	7
24	28	-6	46	69	2
27	22	-3	41	75	6
20	27	-6	46	72	0
28	39	-3	45	66	2
12	24	-7	45	72	0
19	9	-1.5	45.5	73	8
14	41	-9.5	43	67	8
31	14	-3.5	44	75	10
51	17	0	43.5	72	0
17	24	-3	45	72	0
26	0	-6	41	75	8
6	12	-1	43.5	80	0
33	35	-2	45.5	80	13
38	28	-14	49	70	3
20	23	-3	47	70	5
22	24	-16.5	43.5	62	7
48	21	-1	48.5	72	0
10	24	-3.5	46.5	77	4
22	20	-5.5	47.5	62	3
36	21	-3	44	54	7
23	20	-7	43.5	72	0
16	13	-4.5	47.5	72	0
14	27	-6	46.5	60	4
26	20	-3	44.5	56	8
30	27	-3.5	45	73	8
3	17	-7	43.5	60	5
23	37	-4	43.5	72	0
23	20	-2.5	42.5	62	6
13	10	-3	48.5	72	0
20	27	-5	44.5	68	7
25	19	-7.5	48	76	6
30	33	-3	40.5	75	7
27	24	-3	45.5	59	13
6	30	-10	43	61	2
17	42	-5	41	76	2
24	10	-7	48.5	72	0
17	18	-6.5	43	68	0
30	27	-3	44.5	72	7
10	16	-8.5	50.5	72	0
39	17	-4.5	46	72	0
38	31	-9	46	73	15
13	14	-9.5	44.5	80	11
20	24	-7.5	44	57	3
31	21	-5.5	45	76	8
